CowTagID,Predictor_measurement,Predictor_value
20,mean_Salinity,36.8875
20,range_Salinity,0.13000000000000256
20,cv_Salinity,0.0014577897485509455
20,min_Silicate_umolL,0.75
20,max_Silicate_umolL,1.88
20,mean_Silicate_umolL,1.3675
20,range_Silicate_umolL,1.13
20,cv_Silicate_umolL,0.3992970862249473
20,min_pH,8.022434278
20,max_pH,8.078929937
20,mean_pH,8.051451850500001
20,range_pH,0.05649565899999942
20,cv_pH,0.0029914210185422166
3,min_Ammonia_umolL,0.28
3,max_Ammonia_umolL,0.46
3,mean_Ammonia_umolL,0.36750000000000005
3,range_Ammonia_umolL,0.18
3,cv_Ammonia_umolL,0.20767806153025503
3,min_NN_umolL,0.37
3,max_NN_umolL,0.82
3,mean_NN_umolL,0.5575
3,range_NN_umolL,0.44999999999999996
3,cv_NN_umolL,0.34358868080523736
3,min_Phosphate_umolL,0.19
3,max_Phosphate_umolL,0.24
3,mean_Phosphate_umolL,0.2125
3,range_Phosphate_umolL,0.04999999999999999
3,cv_Phosphate_umolL,0.1043461544756868
3,min_Salinity,36.52
3,max_Salinity,36.9
3,mean_Salinity,36.730000000000004
3,range_Salinity,0.37999999999999545
3,cv_Salinity,0.005034914785980576
3,min_Silicate_umolL,1.2
3,max_Silicate_umolL,3.38
3,mean_Silicate_umolL,1.85
3,range_Silicate_umolL,2.1799999999999997
3,cv_Silicate_umolL,0.5578839285379749
3,min_pH,7.97291509
3,max_pH,8.074805927
3,mean_pH,8.032665797
3,range_pH,0.10189083700000001
3,cv_pH,0.005391641623569226
4,min_Ammonia_umolL,0.3
4,max_Ammonia_umolL,1.07
4,mean_Ammonia_umolL,0.5475
4,range_Ammonia_umolL,0.77
4,cv_Ammonia_umolL,0.6570901595232821
4,min_NN_umolL,0.4
4,max_NN_umolL,1.06
4,mean_NN_umolL,0.6325000000000001
4,range_NN_umolL,0.66
4,cv_NN_umolL,0.48497019724535523
4,min_Phosphate_umolL,0.21
4,max_Phosphate_umolL,0.24
4,mean_Phosphate_umolL,0.22749999999999998
4,range_Phosphate_umolL,0.03
4,cv_Phosphate_umolL,0.06593406593406594
4,min_Salinity,36.81
4,max_Salinity,37.04
4,mean_Salinity,36.9
4,range_Salinity,0.22999999999999687
4,cv_Salinity,0.0028423004015451117
4,min_Silicate_umolL,0.84
4,max_Silicate_umolL,3.01
4,mean_Silicate_umolL,1.5625
4,range_Silicate_umolL,2.17
4,cv_Silicate_umolL,0.653205103062328
4,min_pH,8.03090708
4,max_pH,8.07403398
4,mean_pH,8.048481018
4,range_pH,0.04312689999999897
4,cv_pH,0.002269824876181489
5,min_Ammonia_umolL,0.04
5,max_Ammonia_umolL,0.46
5,mean_Ammonia_umolL,0.2625
5,range_Ammonia_umolL,0.42000000000000004
5,cv_Ammonia_umolL,0.6644862301909489
5,min_NN_umolL,0.47
5,max_NN_umolL,1.05
5,mean_NN_umolL,0.6174999999999999
5,range_NN_umolL,0.5800000000000001
5,cv_NN_umolL,0.4669989739336228
5,min_Phosphate_umolL,0.19
5,max_Phosphate_umolL,0.25
